filename,year,month,description,location,inch
ask-me,2016,September,,"San Francisco, CA",3.5
kuci-banner,2016,September,,"Irvine, CA",1
kuci-dial,2016,September,,"Irvine, CA",1
sf-golden-gate,2016,July,Art by Tomoko Maruyama,"San Francisco, CA",1
sf-painted-ladies,2016,July,Art by Tomoko Maruyama,"San Francisco, CA",1
sf-cart,2016,July,Art by Tomoko Maruyama,"San Francisco, CA",1
sf-lake,2016,July,Art by Tomoko Maruyama,"San Francisco, CA",1
uci-orientation-2016,2016,July,,"Irvine, CA",1
heisenberg,2016,March,,"East Brunswick, NJ",1
twins,2016,April,,"New York, NY",1
perfect-robot,2016,April,,"New York, NY",1
fairy,2014,July,,"Lancaster, PA",1
amethyst,2015,August,,"Boston, MA",1
zot-smarter,2016,September,,"Irvine, CA",1.25
lib-uci-edu,2016,September,,"Irvine, CA",1.25
red-floral-pattern,2016,October,,"Irvine, CA",1.25
diamond,2016,October,,"Irvine, CA",1.25
rare-books-black,2016,October,,"Irvine, CA",1.25
rare-books-pink,2016,October,,"Irvine, CA",1.25
hello-kitty-rainbow,2016,November,,"Costa Mesa, CA",1.25
hello-kitty-japantown-red,2016,July,,"San Francisco, CA",1.25
hello-kitty-japantown-pink,2016,July,,"San Francisco, CA",1.25
hello-kitty-japantown-blue,2016,July,,"San Francisco, CA",1.25
pusheen-lollipop,2016,July,,"San Francisco, CA",1.25
pusheen-burger,2016,July,,"San Francisco, CA",1.25
lion,2015,August,,"Boston, MA",1.25
wolf,2015,August,,"Boston, MA",1.25
fox,2015,August,,"Boston, MA",1.25
behind-happy-faces,2017,June,,"Irvine, CA",2
je-suis-1,2008,May,,"East Brunswick, NJ",1.75
satsuki,2015,August,,"Boston, MA",1
flcl-noodles,2015,August,,"Boston, MA",1
flcl-pose,2015,August,,"Boston, MA",1
sao,2015,August,,"Boston, MA",1
metropolitan,2011,July,,"New York, NY",1
joy,2012,August,,"East Brunswick, NJ",1
feliz-navidad,2012,August,,"East Brunswick, NJ",1
yerd,2012,August,,"East Brunswick, NJ",1
recycle,2012,August,,"East Brunswick, NJ",1
partybaby,2017,March,,"Irvine, CA",1
be-the-one,2017,September,,"Irvine, CA",1
hack-the-planet,2017,September,,"Irvine, CA",1
mentor,2017,September,,"Irvine, CA",1
local-hack-day,2017,September,,"Irvine, CA",1
mlh,2017,September,,"Irvine, CA",1
the-no-44,2017,September,,"Irvine, CA",1
stereobox,2017,December,,"Irvine, CA",1
kuci-yellow,2017,May,,"Irvine, CA",1
